,UdA_Cuenca,UdA_Cuenca,UdA_Cuenca,UdA_Cuenca,UdA_Cuenca,UdA_Cuenca,UdA_Cuenca,UdA_Cuenca,UdA_Cuenca
,AMBTEMP,COUGM3,NO2UGM3,O3UGM3,PM25,RAINFALL,SO2UGM3,SOLARRAD,UV_INDEX
Date,DEGC,UG/M3,UG/M3,UG/M3,UG/M3,MM,UG/M3,W/M2,None
01-Jul-2024 00:00,14.5,0.5,23.4,5.7,9.35,0,1.2,,0
01-Jul-2024 01:00,14,0.2,16.3,15.1,5.62,0,-0.9,,0
01-Jul-2024 02:00,13.4,0.2,14.2,14,5.19,0,-0.5,,0
01-Jul-2024 03:00,12.8,0.2,12.9,9.9,5.43,0,2.3,,0
01-Jul-2024 04:00,11.9,0.1,10.2,8.5,4.44,0,0.9,,0
01-Jul-2024 05:00,11.2,0.2,11.2,7.3,4.52,0,0.6,,0
01-Jul-2024 06:00,10.5,0.9,14.8,4.9,6.61,0,2.2,,0.030073625
01-Jul-2024 07:00,11.8,1.4,20.1,6,8.73,0,3.6,,0.513636988
01-Jul-2024 08:00,15.5,0.8,23.9,15.1,6.02,0,2.7,,2.334724575
01-Jul-2024 09:00,17.2,0.4,22.1,33.6,4.97,0,3.8,,5.183692683
01-Jul-2024 10:00,19.1,0.2,11.5,45,3.71,0,0.5,,8.089009308
01-Jul-2024 11:00,20.2,0.1,7.1,49.8,3.21,0,-0.5,,8.619346914
01-Jul-2024 12:00,20.6,0.2,10.2,42.2,3.97,0,-0.5,,4.628021286
01-Jul-2024 13:00,20.6,0.2,7.3,40.1,3.1,0,-0.7,,5.610869764
01-Jul-2024 14:00,21.2,0.2,5,44.1,2.09,0,-0.7,,6.194168383
01-Jul-2024 15:00,20.5,0.2,11.4,37.7,2.36,0,-0.6,,3.140252155
01-Jul-2024 16:00,19.7,0.3,13.4,31.6,2.48,0,-0.4,,1.425270085
01-Jul-2024 17:00,18.7,0.4,19,24.4,3.8,0,-0.3,,0.29928397
01-Jul-2024 18:00,17.8,0.6,26.8,13,4.12,0,0.4,,0.002015717
01-Jul-2024 19:00,17.2,0.6,29.3,9.4,5.39,0,0.2,,0
01-Jul-2024 20:00,16.6,0.4,18,18.1,4.45,0,0.4,,0
01-Jul-2024 21:00,16,0.3,14.2,22,3.01,0,-0.3,,0
01-Jul-2024 22:00,15.6,0.3,20.1,14.5,4.14,0,-0.4,,0
01-Jul-2024 23:00,15.2,0.2,14.1,18,3.62,0,-0.6,,0
02-Jul-2024 00:00,14.6,0.1,7.3,24.5,3.16,0,-0.9,,0
02-Jul-2024 01:00,13.6,0.1,1,29.5,2.03,0,-0.9,,0
02-Jul-2024 02:00,12.7,0.1,7.4,18.4,2.73,0,-0.2,,0
02-Jul-2024 03:00,13.1,0.1,8.3,15.5,3.27,0,-0.4,,0
02-Jul-2024 04:00,13,0.1,7.7,15.8,3.24,0,-0.1,,0
02-Jul-2024 05:00,12,0.2,10.3,9.4,3.72,1.6,-0.8,,0
02-Jul-2024 06:00,12,0.3,15.6,5.7,7.08,1.8,0.4,,0.013300526
02-Jul-2024 07:00,12.5,0.7,19.9,6.5,6.3,0,1.9,,0.336576257
02-Jul-2024 08:00,13.4,0.8,23.3,9.1,7,0,6.3,,1.244078737
02-Jul-2024 09:00,15.1,0.8,26.9,14.1,9.57,0,7.4,,2.581725032
02-Jul-2024 10:00,15.2,0.4,25.7,17.1,5.76,0.4,1.6,,2.031532006
02-Jul-2024 11:00,15.4,0.4,17.4,26.8,3.33,0.4,-0.1,,3.857087434
02-Jul-2024 12:00,14.9,0.4,21.2,25.8,3.64,0.2,0.4,,3.650592813
02-Jul-2024 13:00,16.8,0.3,15.6,37.4,3.19,0,0.6,,4.692811093
02-Jul-2024 14:00,17.4,0.3,16.1,35.9,3.69,0,-0.5,,2.099403754
02-Jul-2024 15:00,17.9,0.3,17.2,33.1,3.4,0,-0.6,,2.041242466
02-Jul-2024 16:00,17.1,0.3,17.5,29.7,3.16,0,-1,,0.832128634
02-Jul-2024 17:00,16.6,0.5,23.4,20.4,3.9,0,0,,0.101516365
02-Jul-2024 18:00,16,0.6,27.1,13.4,4.36,0,0.2,,0
02-Jul-2024 19:00,14.8,0.3,12.9,20.2,2.86,0,-0.9,,0
02-Jul-2024 20:00,14.3,0.5,22.3,9.2,4.79,0,-0.4,,0
02-Jul-2024 21:00,14.1,0.5,20.8,7.2,4.56,0,-0.2,,0
02-Jul-2024 22:00,14,0.5,20.6,6.4,4.34,0,-0.2,,0
02-Jul-2024 23:00,13.9,0.4,18.2,9.5,4.46,0,-0.9,,0
03-Jul-2024 00:00,13.6,0.2,17.2,10,4.65,0,-0.8,,0
03-Jul-2024 01:00,13.3,0.2,13,11,3.79,0,-0.7,,0
03-Jul-2024 02:00,12.4,0.1,7.4,16.2,4.13,0,-1.3,,0
03-Jul-2024 03:00,12.5,0.1,7.8,16.2,3.93,0,-1,,0
